d1	d2	block_id	forward
11399	13484	1	True
16736	19524	2	True
79493	83535	3	False
101528	108886	4	True
166970	169834	2	True
170231	173927	5	True
173956	177194	6	True
177486	181882	1	True
181896	186454	7	True
186530	188887	1	True
188926	190864	1	True
190959	195536	7	True
195613	197889	1	True
197928	199965	1	True
200061	204644	7	True
204659	207020	1	True
207261	209105	1	True
211942	214453	2	True
215565	218639	5	True
219147	222267	6	True
222352	231696	8	True
231975	233784	1	True
236838	239156	2	True
240267	243357	5	True
243646	246515	6	True
246810	255969	8	True
256093	259273	1	True
259315	266411	9	True
266535	269720	1	True
269757	276850	9	True
276978	278954	1	True
281797	284548	2	True
284564	287659	5	True
288134	291265	6	True
291346	300700	8	True
300821	304010	1	True
304052	311140	9	True
311268	313235	1	True
316078	318838	2	True
318855	321940	5	True
322415	325546	6	True
325631	334984	8	True
335110	337086	1	True
339925	342689	2	True
342697	345761	5	True
346265	349395	6	True
349479	358679	8	True
358960	360929	1	True
363774	366297	2	True
367409	370234	5	True
370520	373363	6	True
373656	382742	8	True
382901	386019	1	True
424294	428116	3	True
436081	441409	10	True
441411	446974	11	True
446976	452248	10	True
452250	457755	11	True
457757	462974	10	True
631468	638801	4	True
766661	772482	12	True
776438	782187	12	True
786172	791525	12	True
795180	800611	12	True
804091	809990	12	True
813712	819820	12	True
