d1	d2	block_id	forward
11105	13194	1	True
16442	19230	2	True
79944	83241	3	True
101232	108590	4	True
166668	169532	2	True
169929	172516	5	True
173653	176867	6	True
177184	181580	1	True
181594	186152	7	True
186228	188622	1	True
188624	190562	1	True
190657	195234	7	True
195311	197624	1	True
197626	199663	1	True
199759	204342	7	True
206958	208803	1	True
211646	214137	2	True
215243	217281	5	True
253625	261111	8	True
261935	267905	9	True
267908	272465	10	True
272467	280610	11	True
302685	311601	12	True
317722	325489	13	True
332857	336490	3	True
376236	380034	14	True
380036	385905	9	True
385907	390387	10	True
396330	405208	12	True
411936	422202	15	True
427214	429013	1	True
431830	434264	2	True
435364	437369	5	True
438940	442066	6	True
442152	451487	16	True
451741	453581	1	True
456612	458955	2	True
460024	462068	5	True
463426	466290	6	True
466595	475760	16	True
475892	479072	1	True
479114	486210	17	True
486334	489519	1	True
489556	496649	17	True
496777	498763	1	True
501596	504347	2	True
504363	506369	5	True
507933	511037	6	True
511146	520491	16	True
520620	523809	1	True
523851	530939	17	True
531067	533044	1	True
535877	538637	2	True
538654	540650	5	True
542214	545319	6	True
545431	554774	16	True
554909	556895	1	True
559724	562488	2	True
562496	564498	5	True
566064	569194	6	True
569279	578607	16	True
578861	580726	1	True
583731	586096	2	True
587166	589197	5	True
590542	593423	6	True
593710	602743	16	True
603008	604967	1	True
607818	610341	2	True
611410	613236	5	True
614564	617418	6	True
617702	626778	16	True
626951	630070	1	True
668345	671463	3	False
680132	685460	18	True
685462	691025	19	True
691027	696299	18	True
696301	701806	19	True
701808	707025	18	True
764496	774579	15	True
802634	810121	8	True
818321	822068	14	True
822070	827860	9	True
831803	839476	11	True
865021	872422	13	True
875520	882853	4	True
