d1	d2	block_id	forward
11103	14584	1	True
14586	19235	2	True
20220	22519	3	True
90391	94474	4	False
112481	119885	5	True
174661	182597	6	True
202352	205442	1	True
205444	209711	2	True
210136	212678	3	True
329100	332133	1	True
332135	336354	2	True
337243	339290	3	True
339542	344326	7	True
344489	351324	6	True
353703	356725	1	True
356727	361056	2	True
361063	363314	3	True
363316	368003	7	True
368163	374861	6	True
377192	380153	1	True
381469	384577	8	True
384579	389384	9	True
418638	422461	4	True
509748	517129	5	True
568356	571444	8	True
571446	576220	9	True
583363	586584	1	True
588015	591396	8	True
662424	664384	10	True
664387	667141	11	True
667200	669848	12	True
671895	673763	10	True
673765	677142	11	True
677208	679592	12	True
682927	686148	11	True
686415	688831	12	True
692578	695467	11	True
695745	698153	12	True
701489	704917	11	True
705183	707404	12	True
711110	714327	11	True
714494	717250	12	True
719169	721258	10	True
