d1	d2	block_id	forward
10875	16150	1	True
16152	19656	2	True
19708	22518	3	True
90226	94309	4	False
112267	119624	5	True
179716	182964	2	True
182967	185877	3	True
185879	189950	6	True
204595	209382	1	True
209384	212564	2	True
212566	215108	3	True
331337	336051	1	True
336053	339185	2	True
339187	341743	3	True
341995	345920	6	True
355338	359613	7	True
359615	362727	8	True
362729	367499	9	True
396463	400286	4	True
489094	496428	5	True
547905	551006	8	True
551008	555762	9	True
562906	567558	7	True
567560	570946	8	True
641944	649440	10	True
651706	659059	10	True
661235	668288	10	True
670490	677670	10	True
679858	687061	10	True
