,s04_h1_block10_257672_262209_F,s04_h1_block10_375483_379934_F,s01_h1_block10_268618_273175_F,s01_h1_block10_386617_391097_F,s04_h2_block9_248506_253059_F,s04_h2_block9_366310_370790_F,s03_h1_block8_239266_243816_F,s03_h1_block8_357290_361771_F,s03_h2_block10_267908_272465_F,s03_h2_block10_385907_390387_F
s04_h1_block10_257672_262209_F,100.0,80.58,99.55,81.4,99.61,81.35,99.72,81.31,99.55,81.4
s04_h1_block10_375483_379934_F,80.58,100.0,80.75,97.57,80.73,97.52,80.73,97.52,80.75,97.57
s01_h1_block10_268618_273175_F,99.55,80.75,100.0,81.57,99.89,81.52,99.83,81.48,100.0,81.57
s01_h1_block10_386617_391097_F,81.4,97.57,81.57,100.0,81.55,99.96,81.55,99.91,81.57,100.0
s04_h2_block9_248506_253059_F,99.61,80.73,99.89,81.55,100.0,81.5,99.89,81.46,99.89,81.55
s04_h2_block9_366310_370790_F,81.35,97.52,81.52,99.96,81.5,100.0,81.5,99.87,81.52,99.96
s03_h1_block8_239266_243816_F,99.72,80.73,99.83,81.55,99.89,81.5,100.0,81.46,99.83,81.55
s03_h1_block8_357290_361771_F,81.31,97.52,81.48,99.91,81.46,99.87,81.46,100.0,81.48,99.91
s03_h2_block10_267908_272465_F,99.55,80.75,100.0,81.57,99.89,81.52,99.83,81.48,100.0,81.57
s03_h2_block10_385907_390387_F,81.4,97.57,81.57,100.0,81.55,99.96,81.55,99.91,81.57,100.0
