,s01_h1_block11_273177_281320_F,s01_h1_block11_832583_840254_F,s03_h1_block9_243818_251962_F,s03_h1_block9_769089_776762_F,s03_h2_block11_272467_280610_F,s03_h2_block11_831803_839476_F,s04_h2_block10_253061_261206_F,s04_h2_block10_789329_797002_F,s04_h1_block11_262211_270355_F,s04_h1_block11_694011_701684_F
s01_h1_block11_273177_281320_F,100.0,79.48,99.96,79.19,100.0,79.2,99.94,79.17,99.96,79.21
s01_h1_block11_832583_840254_F,79.48,100.0,79.45,99.44,79.48,99.45,79.44,99.43,79.45,99.47
s03_h1_block9_243818_251962_F,99.96,79.45,100.0,79.16,99.96,79.17,99.93,79.15,100.0,79.19
s03_h1_block9_769089_776762_F,79.19,99.44,79.16,100.0,79.19,99.93,79.15,99.89,79.16,99.95
s03_h2_block11_272467_280610_F,100.0,79.48,99.96,79.19,100.0,79.2,99.94,79.17,99.96,79.21
s03_h2_block11_831803_839476_F,79.2,99.45,79.17,99.93,79.2,100.0,79.16,99.89,79.17,99.95
s04_h2_block10_253061_261206_F,99.94,79.44,99.93,79.15,99.94,79.16,100.0,79.14,99.93,79.17
s04_h2_block10_789329_797002_F,79.17,99.43,79.15,99.89,79.17,99.89,79.14,100.0,79.15,99.91
s04_h1_block11_262211_270355_F,99.96,79.45,100.0,79.16,99.96,79.17,99.93,79.15,100.0,79.19
s04_h1_block11_694011_701684_F,79.21,99.47,79.19,99.95,79.21,99.95,79.17,99.91,79.19,100.0
