,s03_h2_block15_411936_422202_F,s03_h2_block15_764496_774579_F,s03_h1_block12_383327_393608_F,s03_h1_block12_701562_711642_F,s04_h1_block15_401267_411533_F,s04_h1_block15_626561_636651_F,s01_h1_block15_412646_422912_F,s01_h1_block15_764690_774779_F,s04_h2_block14_392376_402642_F,s04_h2_block14_721420_731511_F
s03_h2_block15_411936_422202_F,100.0,86.31,99.62,86.68,99.83,86.38,100.0,86.45,99.89,86.39
s03_h2_block15_764496_774579_F,86.31,100.0,86.59,99.52,86.21,99.84,86.31,99.73,86.28,99.77
s03_h1_block12_383327_393608_F,99.62,86.59,100.0,86.91,99.52,86.63,99.62,86.7,99.59,86.64
s03_h1_block12_701562_711642_F,86.68,99.52,86.91,100.0,86.58,99.53,86.68,99.64,86.65,99.46
s04_h1_block15_401267_411533_F,99.83,86.21,99.52,86.58,100.0,86.33,99.83,86.39,99.91,86.34
s04_h1_block15_626561_636651_F,86.38,99.84,86.63,99.53,86.33,100.0,86.38,99.82,86.39,99.89
s01_h1_block15_412646_422912_F,100.0,86.31,99.62,86.68,99.83,86.38,100.0,86.45,99.89,86.39
s01_h1_block15_764690_774779_F,86.45,99.73,86.7,99.64,86.39,99.82,86.45,100.0,86.46,99.75
s04_h2_block14_392376_402642_F,99.89,86.28,99.59,86.65,99.91,86.39,99.89,86.46,100.0,86.4
s04_h2_block14_721420_731511_F,86.39,99.77,86.64,99.46,86.34,99.89,86.39,99.75,86.4,100.0
