,s04_h2_block13_358190_360419_F,s04_h2_block13_777329_779542_F,s04_h1_block14_366008_369601_F,s04_h1_block14_680409_684073_F,s03_h2_block14_376236_380034_F,s03_h2_block14_818321_822068_F,s03_h1_block11_347590_351398_F,s03_h1_block11_755404_759229_F,s01_h1_block14_376946_380744_F,s01_h1_block14_818540_822507_F
s04_h2_block13_358190_360419_F,100.0,78.02,60.43,40.19,63.29,44.23,63.11,39.66,63.29,32.19
s04_h2_block13_777329_779542_F,78.02,100.0,45.25,57.8,43.2,61.79,43.2,60.41,43.2,47.84
s04_h1_block14_366008_369601_F,60.43,45.25,100.0,68.12,94.2,71.6,94.45,68.97,94.2,57.36
s04_h1_block14_680409_684073_F,40.19,57.8,68.12,100.0,65.74,89.99,65.72,94.23,65.74,86.71
s03_h2_block14_376236_380034_F,63.29,43.2,94.2,65.74,100.0,69.73,99.69,67.77,100.0,60.63
s03_h2_block14_818321_822068_F,44.23,61.79,71.6,89.99,69.73,100.0,69.71,91.02,69.73,79.36
s03_h1_block11_347590_351398_F,63.11,43.2,94.45,65.72,99.69,69.71,100.0,67.74,99.69,60.61
s03_h1_block11_755404_759229_F,39.66,60.41,68.97,94.23,67.77,91.02,67.74,100.0,67.77,87.03
s01_h1_block14_376946_380744_F,63.29,43.2,94.2,65.74,100.0,69.73,99.69,67.77,100.0,60.63
s01_h1_block14_818540_822507_F,32.19,47.84,57.36,86.71,60.63,79.36,60.61,87.03,60.63,100.0
