,s04-h2_block11_283290_292222_F,s04-h2_block11_376733_385631_F,s01-h1_block12_303395_312311_F,s01-h1_block12_397040_405918_F,s04-h1_block12_292447_301377_F,s04-h1_block12_385629_394522_F,s03-h2_block12_302685_311601_F,s03-h2_block12_396330_405208_F,s03-h1_block10_274052_282982_F,s03-h1_block10_367712_376583_F
s04-h2_block11_283290_292222_F,100.0,94.17,99.4,94.34,99.57,94.52,99.4,94.34,99.58,94.38
s04-h2_block11_376733_385631_F,94.17,100.0,94.08,99.47,94.27,98.41,94.08,99.47,94.33,99.27
s01-h1_block12_303395_312311_F,99.4,94.08,100.0,94.34,99.42,94.46,100.0,94.34,99.39,94.36
s01-h1_block12_397040_405918_F,94.34,99.47,94.34,100.0,94.53,98.54,94.34,100.0,94.54,99.62
s04-h1_block12_292447_301377_F,99.57,94.27,99.42,94.53,100.0,94.77,99.42,94.53,99.86,94.42
s04-h1_block12_385629_394522_F,94.52,98.41,94.46,98.54,94.77,100.0,94.46,98.54,94.81,98.34
s03-h2_block12_302685_311601_F,99.4,94.08,100.0,94.34,99.42,94.46,100.0,94.34,99.39,94.36
s03-h2_block12_396330_405208_F,94.34,99.47,94.34,100.0,94.53,98.54,94.34,100.0,94.54,99.62
s03-h1_block10_274052_282982_F,99.58,94.33,99.39,94.54,99.86,94.81,99.39,94.54,100.0,94.36
s03-h1_block10_367712_376583_F,94.38,99.27,94.36,99.62,94.42,98.34,94.36,99.62,94.36,100.0
