,s04-h1_block8_243369_250855_F,s04-h1_block8_664713_672200_F,s03-h2_block8_253625_261111_F,s03-h2_block8_802634_810121_F,s04-h2_block7_234184_241676_F,s04-h2_block7_759573_767060_F,s03-h1_block6_224976_232462_F,s03-h1_block6_739709_747192_F,s01-h1_block8_254335_261821_F,s01-h1_block8_802843_810330_F
s04-h1_block8_243369_250855_F,100.0,71.99,99.9,71.96,99.38,71.96,99.96,71.92,99.9,71.97
s04-h1_block8_664713_672200_F,71.99,100.0,72.01,99.91,72.01,99.94,72.01,99.92,72.01,99.82
s03-h2_block8_253625_261111_F,99.9,72.01,100.0,71.97,99.4,71.97,99.91,71.93,100.0,71.98
s03-h2_block8_802634_810121_F,71.96,99.91,71.97,100.0,71.97,99.97,71.97,99.83,71.97,99.86
s04-h2_block7_234184_241676_F,99.38,72.01,99.4,71.97,100.0,71.97,99.39,71.93,99.4,71.98
s04-h2_block7_759573_767060_F,71.96,99.94,71.97,99.97,71.97,100.0,71.97,99.86,71.97,99.88
s03-h1_block6_224976_232462_F,99.96,72.01,99.91,71.97,99.39,71.97,100.0,71.93,99.91,71.98
s03-h1_block6_739709_747192_F,71.92,99.92,71.93,99.83,71.93,99.86,71.93,100.0,71.93,99.74
s01-h1_block8_254335_261821_F,99.9,72.01,100.0,71.97,99.4,71.97,99.91,71.93,100.0,71.98
s01-h1_block8_802843_810330_F,71.97,99.82,71.98,99.86,71.98,99.88,71.98,99.74,71.98,100.0
