,s01-h1_block8_254335_261821_F,s01-h1_block8_802843_810330_F,s15-h1_block6_212243_219730_F,s15-h1_block6_633588_641074_F,s14-h1_block6_224976_232462_F,s14-h1_block6_739709_747192_F,s14-h2_block8_253625_261111_F,s14-h2_block8_802634_810121_F,s15-h2_block6_100126_107613_F,s15-h2_block6_625510_633002_F
s01-h1_block8_254335_261821_F,100.0,74.34,33.45,33.69,99.92,74.32,100.0,74.33,33.44,33.74
s01-h1_block8_802843_810330_F,74.34,100.0,33.58,33.63,74.37,99.76,74.34,99.87,33.58,33.74
s15-h1_block6_212243_219730_F,33.45,33.58,100.0,74.39,33.41,33.57,33.45,33.61,99.94,74.48
s15-h1_block6_633588_641074_F,33.69,33.63,74.39,100.0,33.67,33.61,33.69,33.63,74.33,99.44
s14-h1_block6_224976_232462_F,99.92,74.37,33.41,33.67,100.0,74.34,99.92,74.36,33.4,33.73
s14-h1_block6_739709_747192_F,74.32,99.76,33.57,33.61,74.34,100.0,74.32,99.85,33.57,33.73
s14-h2_block8_253625_261111_F,100.0,74.34,33.45,33.69,99.92,74.32,100.0,74.33,33.44,33.74
s14-h2_block8_802634_810121_F,74.33,99.87,33.61,33.63,74.36,99.85,74.33,100.0,33.61,33.74
s15-h2_block6_100126_107613_F,33.44,33.58,99.94,74.33,33.4,33.57,33.44,33.61,100.0,74.42
s15-h2_block6_625510_633002_F,33.74,33.74,74.48,99.44,33.73,33.73,33.74,33.74,74.42,100.0
