,s14-h2_block15_411936_422202_F,s14-h2_block15_764496_774579_F,s15-h1_block7_247792_257882_F,s15-h1_block7_472910_483176_F,s14-h1_block12_383327_393608_F,s14-h1_block12_701562_711642_F,s01-h1_block15_412646_422912_F,s01-h1_block15_764690_774779_F,s15-h2_block7_135675_145766_F,s15-h2_block7_464544_474810_F
s14-h2_block15_411936_422202_F,100.0,87.39,34.01,34.33,99.65,87.73,100.0,87.56,33.98,34.32
s14-h2_block15_764496_774579_F,87.39,100.0,35.07,35.46,87.64,99.56,87.39,99.75,35.05,35.45
s15-h1_block7_247792_257882_F,34.01,35.07,100.0,87.65,34.06,35.12,34.01,35.08,99.89,87.71
s15-h1_block7_472910_483176_F,34.33,35.46,87.65,100.0,34.39,35.52,34.33,35.47,87.66,99.92
s14-h1_block12_383327_393608_F,99.65,87.64,34.06,34.39,100.0,87.94,99.65,87.79,34.03,34.38
s14-h1_block12_701562_711642_F,87.73,99.56,35.12,35.52,87.94,100.0,87.73,99.67,35.1,35.51
s01-h1_block15_412646_422912_F,100.0,87.39,34.01,34.33,99.65,87.73,100.0,87.56,33.98,34.32
s01-h1_block15_764690_774779_F,87.56,99.75,35.08,35.47,87.79,99.67,87.56,100.0,35.07,35.46
s15-h2_block7_135675_145766_F,33.98,35.05,99.89,87.66,34.03,35.1,33.98,35.07,100.0,87.72
s15-h2_block7_464544_474810_F,34.32,35.45,87.71,99.92,34.38,35.51,34.32,35.46,87.72,100.0
