,s03-h1_block9_243818_251962_F,s03-h1_block9_769089_776762_F,s01-h1_block11_273177_281320_F,s01-h1_block11_832583_840254_F,s04-h2_block10_253061_261206_F,s04-h2_block10_789329_797002_F,s04-h1_block11_262211_270355_F,s04-h1_block11_694011_701684_F,s03-h2_block11_272467_280610_F,s03-h2_block11_831803_839476_F
s03-h1_block9_243818_251962_F,100.0,79.16,99.96,79.45,99.93,79.15,100.0,79.19,99.96,79.17
s03-h1_block9_769089_776762_F,79.16,100.0,79.19,99.44,79.15,99.89,79.16,99.95,79.19,99.93
s01-h1_block11_273177_281320_F,99.96,79.19,100.0,79.48,99.94,79.17,99.96,79.21,100.0,79.2
s01-h1_block11_832583_840254_F,79.45,99.44,79.48,100.0,79.44,99.43,79.45,99.47,79.48,99.45
s04-h2_block10_253061_261206_F,99.93,79.15,99.94,79.44,100.0,79.14,99.93,79.17,99.94,79.16
s04-h2_block10_789329_797002_F,79.15,99.89,79.17,99.43,79.14,100.0,79.15,99.91,79.17,99.89
s04-h1_block11_262211_270355_F,100.0,79.16,99.96,79.45,99.93,79.15,100.0,79.19,99.96,79.17
s04-h1_block11_694011_701684_F,79.19,99.95,79.21,99.47,79.17,99.91,79.19,100.0,79.21,99.95
s03-h2_block11_272467_280610_F,99.96,79.19,100.0,79.48,99.94,79.17,99.96,79.21,100.0,79.2
s03-h2_block11_831803_839476_F,79.17,99.93,79.2,99.45,79.16,99.89,79.17,99.95,79.2,100.0
